"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"157","50536",93.9,24.5,1.2,28774,4557,4323,152,9,38,0,0,35,6.31424182576256,94.8650427913101,3.33552775949089,544170,42405,12.8326848249027
"158","50554",93.1,18.3,2.1,31765,1578,1457,54,6,16,0,19,26,20.1299112801014,92.3320659062104,3.42205323193916,116221,10533,11.033988417355
"159","50025",89.1,13.4,2.2,27099,3107,2990,11,34,11,0,0,61,8.7219182491149,96.234309623431,0.354039266173157,128960,11619,11.0990618814012
"160","50212",94.2,21.4,6.1,30108,3194,3041,0,0,0,0,9,144,9.42642454602379,95.2097683155917,0,77266,6093,12.6811094698835
"161","52656",94.4,14,5.1,31728,2311,2288,0,0,0,0,0,23,13.7291215923842,99.0047598442233,0,214770,13347,16.0912564621263
"162","50629",96.8,18.7,2.9,33500,2031,1991,0,24,0,0,0,16,16.494337764648,98.0305268340719,0,52734,4560,11.5644736842105
"163","51025",96.5,24,4.7,29659,2008,1942,0,39,9,0,8,10,14.7704183266932,96.7131474103586,0,240057,16284,14.7418938835667
"164","50421",92.2,13.8,3,31977,3336,3173,0,0,22,0,106,35,9.58543165467626,95.1139088729017,0,258406,20825,12.4084513805522
"165","50459",92.2,17.5,8.6,29427,2683,2583,51,2,7,0,0,40,10.9679463287365,96.2728289228476,1.90085724934775,207552,16960,12.2377358490566
"166","50636",90.4,14.5,2.8,27244,1757,1714,0,0,32,11,0,0,15.5059760956175,97.5526465566306,0,35772,3159,11.32383665717
"167","51338",92.8,19.7,3.4,32401,974,971,0,0,0,0,1,2,33.2659137577002,99.6919917864476,0,8007,674,11.879821958457
"168","52159",92.6,20.7,1.9,32383,2288,2263,0,0,16,0,0,9,14.1534090909091,98.9073426573427,0,160927,12289,13.0952070957767
"169","50483",92.8,15.6,1.1,29943,647,635,4,0,1,0,0,7,46.2797527047913,98.145285935085,0.618238021638331,226448,16030,14.1265127885215
"170","50630",94.7,14.5,2.5,32426,2067,2009,33,9,2,0,0,14,15.6874697629415,97.1940009675859,1.59651669085631,37597,3714,10.1230479267636
"171","52314",96.8,52.4,2,21025,6401,5606,214,0,52,4,219,306,3.28464302452742,87.5800656147477,3.34322762068427,2216051,155453,14.2554405511634
"172","51050",94.9,16.1,2.4,30904,2604,2576,0,0,0,0,0,28,11.8678955453149,98.9247311827957,0,120063,8822,13.6094989798232
"173","51521",91.3,27.2,2.7,33958,1882,1851,0,0,0,0,0,31,18.0435706695005,98.3528161530287,0,344311,23411,14.7072316432446
"174","51246",91.9,25.6,1.4,31431,3385,3361,4,8,2,0,1,9,9.28537666174298,99.2909896602659,0.118168389955687,316325,23665,13.366786393408
"175","50674",93.9,17.1,4.9,32074,3666,3600,10,28,18,0,0,10,8.74904528096017,98.1996726677578,0.272776868521549,90649,7444,12.1774583557227
"176","52101",95.4,34,2.2,24497,13745,13132,159,40,238,0,66,110,1.78224809021462,95.5401964350673,1.15678428519462,1181316,85454,13.8239988765886
