"","zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"136","50009","Amaretto",10629,899,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"137","50009","Schnapps",64271,4759,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440,2.16956989247312,95.0752688172043,0.655913978494624
"138","50312","Whisky",542123,22315,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"139","50312","Misc",126576,5399,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"140","50312","Vodka",357884,28281,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"141","50312","Tequila",60844,3050,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"142","50312","Brandy",62867,2331,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"143","50312","Rum",84918,5709,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"144","50312","Distilled Spirits",3054,133,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"145","50312","Gin",72731,4289,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"146","50312","Amaretto",3624,193,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"147","50312","Schnapps",11984,919,95.2,55.2,3.4,38275,15713,14081,632,1,575,0,40,384,2.43588111754598,89.613695666009,4.02214726659454
"148","50220","Whisky",203976,15786,80.4,14.3,2.4,26177,9140,8103,171,9,104,0,558,195,2.86400437636761,88.6542669584245,1.87089715536105
"149","50220","Rum",85832,6157,80.4,14.3,2.4,26177,9140,8103,171,9,104,0,558,195,2.86400437636761,88.6542669584245,1.87089715536105
"150","50220","Misc",35752,2547,80.4,14.3,2.4,26177,9140,8103,171,9,104,0,558,195,2.86400437636761,88.6542669584245,1.87089715536105
"151","50220","Schnapps",14769,1207,80.4,14.3,2.4,26177,9140,8103,171,9,104,0,558,195,2.86400437636761,88.6542669584245,1.87089715536105
"152","52240","Whisky",2570690,132464,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"153","52240","Misc",705288,42334,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"154","52240","Brandy",316818,12587,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"155","52240","Tequila",578611,32442,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"156","52240","Distilled Spirits",30737,2595,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"157","52240","Gin",351552,24118,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"158","52240","Vodka",2317104,185421,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"159","52240","Rum",891421,67628,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"160","52240","Amaretto",22241,1888,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"161","52240","Schnapps",298110,21747,91.3,45.5,4.5,20192,33477,26623,2877,103,1463,53,1462,896,0.603160378767512,79.5262418974221,8.59396003226096
"162","50588","Whisky",598877,41254,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"163","50588","Misc",124911,7655,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"164","50588","Vodka",289423,27167,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"165","50588","Rum",232999,17301,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"166","50588","Brandy",121982,5467,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"167","50588","Tequila",119398,6301,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"168","50588","Gin",43111,3747,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"169","50588","Distilled Spirits",4745,220,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"170","50588","Amaretto",5600,649,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"171","50588","Schnapps",54168,4102,69.5,17.4,5.1,23581,12810,9056,558,0,1696,223,1035,242,1.8408274785324,70.6947697111631,4.3559718969555
"172","50841","Misc",13064,780,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"173","50841","Whisky",103643,7006,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"174","50841","Vodka",25321,2686,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"175","50841","Schnapps",7172,518,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"176","50841","Tequila",9413,712,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"177","50841","Distilled Spirits",1044,68,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"178","50841","Gin",2333,212,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"179","50841","Rum",14309,985,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"180","50841","Brandy",2900,249,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"181","50841","Amaretto",450,60,90.8,15.6,3.7,31921,2659,2596,19,0,22,0,3,19,12.0048890560361,97.6306882286574,0.714554343738247
"182","52136","Misc",59437,3500,91.9,15.3,2.9,29531,5931,5822,18,0,0,0,2,89,4.97909290170292,98.1621986174338,0.303490136570561
"183","52136","Whisky",215383,15916,91.9,15.3,2.9,29531,5931,5822,18,0,0,0,2,89,4.97909290170292,98.1621986174338,0.303490136570561
