,city,category,sale.dollars,sale.volume,high.school,bachelor,unemployment,income,Average Income,population,Sale Per Person,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi,income_per_capita,prop_white,prop_black
3236,Early,Rum,3153,215,95.9,17.2,5.8,27330,39.09871245,699,4.510729614,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3237,Early,Whisky,8240,497,95.9,17.2,5.8,27330,39.09871245,699,11.78826896,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3238,Early,Gin,146,11,95.9,17.2,5.8,27330,39.09871245,699,0.208869814,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3239,Early,Vodka,3821,486,95.9,17.2,5.8,27330,39.09871245,699,5.466380544,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3240,Early,Brandy,162,12,95.9,17.2,5.8,27330,39.09871245,699,0.231759657,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3241,Early,Tequila,2673,118,95.9,17.2,5.8,27330,39.09871245,699,3.824034335,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3242,Early,Misc,763,34,95.9,17.2,5.8,27330,39.09871245,699,1.091559371,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3243,Early,Schnapps,367,26,95.9,17.2,5.8,27330,39.09871245,699,0.525035765,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3244,Early,Amaretto,50,8,95.9,17.2,5.8,27330,39.09871245,699,0.071530758,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3245,Early,Distilled Spirits,76,2,95.9,17.2,5.8,27330,39.09871245,699,0.108726753,650,36,0,0,0,0,13,39.09871245,92.98998569,5.150214592
3246,Lamoni,Amaretto,62,5,87.8,32.9,6,9158,3.500764526,2616,0.023700306,2309,162,34,6,14,20,71,3.500764526,88.26452599,6.19266055
3247,Lamoni,Distilled Spirits,113,4,87.8,32.9,6,9158,3.500764526,2616,0.043195719,2309,162,34,6,14,20,71,3.500764526,88.26452599,6.19266055
3248,Bussey,Misc,232,10,89.5,9.9,7.7,24423,42.25432526,578,0.401384083,577,0,1,0,0,0,0,42.25432526,99.82698962,0
3249,Bussey,Gin,14,2,89.5,9.9,7.7,24423,42.25432526,578,0.024221453,577,0,1,0,0,0,0,42.25432526,99.82698962,0
3250,De Soto,Distilled Spirits,982,45,92.2,22,6.5,30568,28.70234742,1065,0.922065728,1033,0,0,2,0,0,30,28.70234742,96.99530516,0
3251,Nashua,Whisky,14253,1118,91.6,13.6,7.6,26613,16.49907006,1613,8.83632982,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3252,Nashua,Gin,166,17,91.6,13.6,7.6,26613,16.49907006,1613,0.102913825,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3253,Nashua,Vodka,5853,693,91.6,13.6,7.6,26613,16.49907006,1613,3.628642281,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3254,Nashua,Misc,2724,180,91.6,13.6,7.6,26613,16.49907006,1613,1.688778673,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3255,Nashua,Rum,7734,620,91.6,13.6,7.6,26613,16.49907006,1613,4.794792312,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3256,Nashua,Brandy,2284,227,91.6,13.6,7.6,26613,16.49907006,1613,1.41599504,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3257,Nashua,Schnapps,3075,321,91.6,13.6,7.6,26613,16.49907006,1613,1.906385617,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3258,Nashua,Distilled Spirits,454,25,91.6,13.6,7.6,26613,16.49907006,1613,0.281463112,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3259,Nashua,Tequila,809,52,91.6,13.6,7.6,26613,16.49907006,1613,0.501549907,1607,0,0,0,0,0,6,16.49907006,99.62802232,0
3260,Lovilia,Rum,1151,79,91.1,5.3,16.9,25893,43.155,600,1.918333333,600,0,0,0,0,0,0,43.155,100,0
3261,Lovilia,Misc,588,21,91.1,5.3,16.9,25893,43.155,600,0.98,600,0,0,0,0,0,0,43.155,100,0
3262,Lovilia,Whisky,3683,186,91.1,5.3,16.9,25893,43.155,600,6.138333333,600,0,0,0,0,0,0,43.155,100,0
3263,Lovilia,Gin,30,2,91.1,5.3,16.9,25893,43.155,600,0.05,600,0,0,0,0,0,0,43.155,100,0
3264,Lovilia,Vodka,1336,128,91.1,5.3,16.9,25893,43.155,600,2.226666667,600,0,0,0,0,0,0,43.155,100,0
3265,Lovilia,Brandy,47,4,91.1,5.3,16.9,25893,43.155,600,0.078333333,600,0,0,0,0,0,0,43.155,100,0
3266,Lovilia,Tequila,202,12,91.1,5.3,16.9,25893,43.155,600,0.336666667,600,0,0,0,0,0,0,43.155,100,0
3267,Lovilia,Schnapps,209,16,91.1,5.3,16.9,25893,43.155,600,0.348333333,600,0,0,0,0,0,0,43.155,100,0
